TIME,BAT_VOL_FINE_SEL_RT,LOAD_CUR_AMP,DER_RATE_YAW,DER_RATE_ROL,DER_RATE_PCH,IRU_BASE_M_TH_TEMP,EP04_IRU_HTR_M_HTR-1,EP04_IRU_HTR_M_HTR-1,LATCH_VALVE_2_ATC_R_,BD_SFLV_FLTR_R_HTR-1,BD_SFLV_FLTR_R_HTR-1,RRA-HINGE_-P+R_ATC_R,RRA_HNG_NP_PR_R_HTR-,RRA_HNG_NP_PR_R_HTR-,RRA-TOP-PLT_-P_ATC_M,RRA_TOPPLT_1M_HTR-20,RRA_TOPPLT_1M_HTR-20,RRA_DM2_ATC_M_TH_TEM,RRA_DRV_MD_2_M_HTR-1,RRA_DRV_MD_2_M_HTR-1,EP04_IRU_HTR_M_HTR-1,BD_SFLV_FLTR_R_HTR-1,RRA_HNG_NP_PR_R_HTR-,RRA_TOPPLT_1M_HTR-20,RRA_DRV_MD_2_M_HTR-1
1.63E+12,NaN,13.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,40.56,13.15,-0.00039,0.00039,-0.03399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,13.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,13.15,-0.00059,-0.00059,-0.03066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,10.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ON      ,ON      ,OFF     ,NaN,NaN      
1.63E+12,40.68,10.84,-0.00078,0.00059,-0.03066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,10.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.77,20.44,NaN,10,21,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,10.84,-0.0002,0.00098,-0.03125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ON      ,OFF            
1.63E+12,NaN,11.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,11.36,-0.00059,0.00039,-0.03086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
